anno,Provincia,Comune,Tipologia,Stelle,Numero Strutture,letti,camere
2020,Provincia di Oristano,ABBASANTA,Agriturismo,NULL,1,10,6
2020,Provincia di Oristano,ABBASANTA,Albergo,3 Stelle,1,91,31
2020,Provincia di Oristano,ABBASANTA,Albergo,4 Stelle,1,25,10
2020,Provincia di Oristano,ABBASANTA,Alloggi privati,NULL,2,9,3
2020,Provincia di Oristano,ABBASANTA,Bed and breakfast,2 Stelle,1,4,2
2020,Provincia di Sassari,AGGIUS,Affittacamere,I Categoria,1,11,5
2020,Provincia di Sassari,AGGIUS,Agriturismo,NULL,3,38,21
2020,Provincia di Sassari,AGGIUS,Alloggi privati,NULL,3,12,6
2020,Provincia di Sassari,AGGIUS,Bed and breakfast,NULL,10,47,23
2020,Provincia di Sassari,AGGIUS,Bed and breakfast,3 Stelle,1,5,3
2020,Provincia di Sassari,AGGIUS,Case e appartamenti per vacanze,II Categoria,1,8,3
2020,Provincia di Sassari,AGLIENTU,Agriturismo,NULL,9,110,51
2020,Provincia di Sassari,AGLIENTU,Albergo,2 Stelle,1,23,11
2020,Provincia di Sassari,AGLIENTU,Albergo,3 Stelle,6,1009,274
2020,Provincia di Sassari,AGLIENTU,Alloggi privati,NULL,61,311,113
2020,Provincia di Sassari,AGLIENTU,Bed and breakfast,NULL,1,3,6
2020,Provincia di Sassari,AGLIENTU,Campeggio,4 Stelle,2,3898,1072
2020,Provincia di Sassari,AGLIENTU,Case e appartamenti per vacanze,II Categoria,2,72,12
2020,Provincia di Sassari,AGLIENTU,Case per ferie,III Categoria,1,10,5
2020,Provincia di Sassari,ALÀ DEI SARDI,Alloggi privati,NULL,1,4,NULL
2020,Provincia di Sassari,ALÀ DEI SARDI,Bed and breakfast,2 Stelle,1,2,2
2020,Provincia di Oristano,ALES,Affittacamere,II Categoria,3,17,9
2020,Provincia di Oristano,ALES,Alloggi privati,NULL,1,6,3
2020,Provincia di Oristano,ALES,Bed and breakfast,NULL,1,4,2
2020,Provincia di Oristano,ALES,Bed and breakfast,1 Stella,1,2,2
2020,Provincia di Oristano,ALES,Bed and breakfast,2 Stelle,1,1,1
2020,Provincia di Sassari,ALGHERO,Affittacamere,NULL,40,287,135
2020,Provincia di Sassari,ALGHERO,Affittacamere,I Categoria,4,36,13
2020,Provincia di Sassari,ALGHERO,Affittacamere,II Categoria,75,585,230
2020,Provincia di Sassari,ALGHERO,Affittacamere,III Categoria,7,58,22
2020,Provincia di Sassari,ALGHERO,Agriturismo,NULL,30,320,153
2020,Provincia di Sassari,ALGHERO,Albergo,3 Stelle,14,1405,640
2020,Provincia di Sassari,ALGHERO,Albergo,4 Stelle,15,3791,1453
2020,Provincia di Sassari,ALGHERO,Albergo,5 Stelle,2,536,203
2020,Provincia di Sassari,ALGHERO,Albergo residenziale,2 Stelle,1,275,66
2020,Provincia di Sassari,ALGHERO,Albergo residenziale,3 Stelle,3,411,72
2020,Provincia di Sassari,ALGHERO,Albergo residenziale,4 Stelle,1,42,25
