anno,Provincia,comune,mese,Tipologia,Stelle,numero_strutture,letti,camere
2019,CittàmetropolitanaCagliari,ASSEMINI,1,Affittacamere,IICategoria,1,9,4
2019,CittàmetropolitanaCagliari,CAGLIARI,1,Affittacamere,NULL,8,57,29
2019,CittàmetropolitanaCagliari,CAGLIARI,1,Affittacamere,ICategoria,3,28,13
2019,CittàmetropolitanaCagliari,CAGLIARI,1,Affittacamere,IICategoria,67,545,274
2019,CittàmetropolitanaCagliari,CAPOTERRA,1,Affittacamere,IICategoria,2,16,8
2019,CittàmetropolitanaCagliari,PULA,1,Affittacamere,IICategoria,2,19,10
2019,CittàmetropolitanaCagliari,QUARTUSANT'ELENA,1,Affittacamere,IICategoria,2,12,7
2019,CittàmetropolitanaCagliari,QUARTUCCIU,1,Affittacamere,NULL,1,17,5
2019,CittàmetropolitanaCagliari,QUARTUCCIU,1,Affittacamere,IICategoria,2,19,7
2019,CittàmetropolitanaCagliari,SESTU,1,Affittacamere,IICategoria,2,12,6
2019,CittàmetropolitanaCagliari,ASSEMINI,1,Agriturismo,NULL,2,23,11
2019,CittàmetropolitanaCagliari,ASSEMINI,1,Albergo,3Stelle,1,103,55
2019,CittàmetropolitanaCagliari,ASSEMINI,1,Albergo,4Stelle,1,182,84
2019,CittàmetropolitanaCagliari,CAGLIARI,1,Albergo,1Stella,4,72,29
2019,CittàmetropolitanaCagliari,CAGLIARI,1,Albergo,2Stelle,2,44,28
2019,CittàmetropolitanaCagliari,CAGLIARI,1,Albergo,3Stelle,10,807,405
2019,CittàmetropolitanaCagliari,CAGLIARI,1,Albergo,4Stelle,8,1357,673
2019,CittàmetropolitanaCagliari,CAPOTERRA,1,Albergo,3Stelle,2,40,20
2019,CittàmetropolitanaCagliari,PULA,1,Albergo,3Stelle,4,131,64
2019,CittàmetropolitanaCagliari,PULA,1,Albergo,4Stelle,2,81,40
2019,CittàmetropolitanaCagliari,QUARTUSANT'ELENA,1,Albergo,2Stelle,1,23,15
2019,CittàmetropolitanaCagliari,QUARTUSANT'ELENA,1,Albergo,3Stelle,2,214,91
2019,CittàmetropolitanaCagliari,SARROCH,1,Albergo,1Stella,1,25,14
2019,CittàmetropolitanaCagliari,SARROCH,1,Albergo,2Stelle,1,24,15
2019,CittàmetropolitanaCagliari,SELARGIUS,1,Albergo,3Stelle,1,147,87
2019,CittàmetropolitanaCagliari,SELARGIUS,1,Albergo,4Stelle,1,117,60
2019,CittàmetropolitanaCagliari,UTA,1,Albergo,3Stelle,1,20,10
2019,CittàmetropolitanaCagliari,ELMAS,1,Albergoresidenziale,3Stelle,1,66,18
2019,CittàmetropolitanaCagliari,SINNAI,1,Albergoresidenziale,3Stelle,1,114,32
2019,CittàmetropolitanaCagliari,ASSEMINI,1,Alloggiprivati,NULL,1,8,4
2019,CittàmetropolitanaCagliari,CAGLIARI,1,Alloggiprivati,NULL,103,445,186
2019,CittàmetropolitanaCagliari,CAPOTERRA,1,Alloggiprivati,NULL,3,17,7
2019,CittàmetropolitanaCagliari,ELMAS,1,Alloggiprivati,NULL,1,2,1
2019,CittàmetropolitanaCagliari,MONSERRATO,1,Alloggiprivati,NULL,6,20,9
2019,CittàmetropolitanaCagliari,PULA,1,Alloggiprivati,NULL,21,95,43
2019,CittàmetropolitanaCagliari,QUARTUSANT'ELENA,1,Alloggiprivati,NULL,33,168,61
2019,CittàmetropolitanaCagliari,QUARTUCCIU,1,Alloggiprivati,NULL,2,11,6
2019,CittàmetropolitanaCagliari,SARROCH,1,Alloggiprivati,NULL,2,9,5
2019,CittàmetropolitanaCagliari,SELARGIUS,1,Alloggiprivati,NULL,2,7,4
2019,CittàmetropolitanaCagliari,SESTU,1,Alloggiprivati,NULL,1,2,1
