Comune,Anno,Mese,Tipologia,Stelle,Numero Strutture,Letti,Camere
ABBASANTA,2021,1,Albergo,4 Stelle,1,25,10
ABBASANTA,2021,1,Bed and breakfast,2 Stelle,1,4,2
ABBASANTA,2021,2,Albergo,4 Stelle,1,25,10
ABBASANTA,2021,2,Bed and breakfast,2 Stelle,1,4,2
ABBASANTA,2021,3,Albergo,4 Stelle,1,25,10
ABBASANTA,2021,3,Bed and breakfast,2 Stelle,1,4,2
ABBASANTA,2021,4,Albergo,4 Stelle,1,25,10
ABBASANTA,2021,4,Bed and breakfast,2 Stelle,1,4,2
ABBASANTA,2021,5,Albergo,4 Stelle,1,25,10
ABBASANTA,2021,5,Bed and breakfast,2 Stelle,1,4,2
ABBASANTA,2021,6,Albergo,3 Stelle,1,91,31
ABBASANTA,2021,6,Albergo,4 Stelle,1,25,10
ABBASANTA,2021,6,Alloggi privati,NULL,1,5,1
ABBASANTA,2021,6,Bed and breakfast,2 Stelle,1,4,2
ABBASANTA,2021,7,Albergo,3 Stelle,1,91,31
ABBASANTA,2021,7,Albergo,4 Stelle,1,25,10
ABBASANTA,2021,7,Alloggi privati,NULL,1,5,1
ABBASANTA,2021,7,Bed and breakfast,2 Stelle,1,4,2
ABBASANTA,2021,8,Albergo,3 Stelle,1,91,31
ABBASANTA,2021,8,Alloggi privati,NULL,1,5,1
ABBASANTA,2021,8,Bed and breakfast,2 Stelle,1,4,2
ABBASANTA,2021,9,Albergo,3 Stelle,1,91,31
ABBASANTA,2021,9,Bed and breakfast,2 Stelle,1,4,2
ABBASANTA,2021,10,Albergo,3 Stelle,1,91,31
ABBASANTA,2021,10,Bed and breakfast,2 Stelle,1,4,2
ABBASANTA,2021,11,Agriturismo,NULL,1,10,6
ABBASANTA,2021,11,Albergo,3 Stelle,1,91,31
ABBASANTA,2021,11,Alloggi privati,NULL,1,5,1
ABBASANTA,2021,11,Bed and breakfast,2 Stelle,1,4,2
ABBASANTA,2021,12,Agriturismo,NULL,1,10,6
ABBASANTA,2021,12,Alloggi privati,NULL,1,5,1
ABBASANTA,2021,12,Bed and breakfast,2 Stelle,1,4,2
AGGIUS,2021,1,Agriturismo,NULL,3,38,21
AGGIUS,2021,1,Bed and breakfast,NULL,2,12,6
AGGIUS,2021,2,Agriturismo,NULL,3,38,21
AGGIUS,2021,2,Bed and breakfast,NULL,2,12,6
AGGIUS,2021,2,Bed and breakfast,3 Stelle,1,5,3
AGGIUS,2021,3,Agriturismo,NULL,3,38,21
AGGIUS,2021,3,Bed and breakfast,NULL,2,12,6
AGGIUS,2021,3,Bed and breakfast,3 Stelle,1,5,3
AGGIUS,2021,4,Agriturismo,NULL,3,38,21
AGGIUS,2021,4,Bed and breakfast,NULL,2,12,6
AGGIUS,2021,4,Bed and breakfast,3 Stelle,1,5,3
AGGIUS,2021,5,Agriturismo,NULL,3,38,21
AGGIUS,2021,5,Alloggi privati,NULL,2,6,3
AGGIUS,2021,5,Bed and breakfast,NULL,2,12,6
AGGIUS,2021,5,Bed and breakfast,3 Stelle,1,5,3
AGGIUS,2021,6,Agriturismo,NULL,3,38,21
AGGIUS,2021,6,Alloggi privati,NULL,3,12,6
AGGIUS,2021,6,Bed and breakfast,NULL,2,12,6
AGGIUS,2021,6,Bed and breakfast,3 Stelle,2,15,6
AGGIUS,2021,6,Case e appartamenti per vacanze,II Categoria,1,8,3
AGGIUS,2021,7,Agriturismo,NULL,3,38,21
AGGIUS,2021,7,Alloggi privati,NULL,3,12,6
AGGIUS,2021,7,Bed and breakfast,NULL,2,12,6
AGGIUS,2021,7,Bed and breakfast,3 Stelle,2,15,6
AGGIUS,2021,7,Case e appartamenti per vacanze,II Categoria,1,8,3
AGGIUS,2021,8,Agriturismo,NULL,3,38,21
AGGIUS,2021,8,Alloggi privati,NULL,3,12,6
AGGIUS,2021,8,Bed and breakfast,NULL,2,12,6
AGGIUS,2021,8,Bed and breakfast,3 Stelle,2,15,6
AGGIUS,2021,8,Case e appartamenti per vacanze,II Categoria,1,8,3
AGGIUS,2021,9,Agriturismo,NULL,3,38,21
AGGIUS,2021,9,Alloggi privati,NULL,3,12,6
AGGIUS,2021,9,Bed and breakfast,NULL,2,12,6
AGGIUS,2021,9,Bed and breakfast,3 Stelle,2,15,6
AGGIUS,2021,9,Case e appartamenti per vacanze,II Categoria,1,8,3
AGGIUS,2021,10,Agriturismo,NULL,3,38,21
AGGIUS,2021,10,Bed and breakfast,NULL,2,12,6
AGGIUS,2021,10,Bed and breakfast,3 Stelle,2,15,6
AGGIUS,2021,11,Agriturismo,NULL,3,38,21
AGGIUS,2021,11,Bed and breakfast,NULL,2,12,6
AGGIUS,2021,12,Agriturismo,NULL,3,38,21
AGGIUS,2021,12,Bed and breakfast,NULL,2,12,6
AGLIENTU,2021,1,Agriturismo,NULL,1,4,4
AGLIENTU,2021,1,Alloggi privati,NULL,2,2,1
AGLIENTU,2021,2,Agriturismo,NULL,1,4,4
AGLIENTU,2021,2,Alloggi privati,NULL,2,2,1
AGLIENTU,2021,3,Agriturismo,NULL,1,4,4
AGLIENTU,2021,3,Alloggi privati,NULL,1,2,1
AGLIENTU,2021,4,Agriturismo,NULL,1,4,4
AGLIENTU,2021,4,Albergo,3 Stelle,1,49,0
AGLIENTU,2021,4,Alloggi privati,NULL,15,109,47
AGLIENTU,2021,5,Agriturismo,NULL,3,22,13
AGLIENTU,2021,5,Albergo,3 Stelle,3,689,267
AGLIENTU,2021,5,Alloggi privati,NULL,50,255,109
AGLIENTU,2021,5,Campeggio,4 Stelle,2,3898,1072
AGLIENTU,2021,5,Case e appartamenti per vacanze,II Categoria,1,23,0
AGLIENTU,2021,6,Agriturismo,NULL,10,118,44
AGLIENTU,2021,6,Albergo,2 Stelle,1,12,7
AGLIENTU,2021,6,Albergo,3 Stelle,5,725,282
AGLIENTU,2021,6,Alloggi privati,NULL,83,457,193
AGLIENTU,2021,6,Campeggio,4 Stelle,2,3898,1072
AGLIENTU,2021,6,Case e appartamenti per vacanze,II Categoria,2,72,33
AGLIENTU,2021,7,Agriturismo,NULL,10,118,44
AGLIENTU,2021,7,Albergo,2 Stelle,1,12,7
AGLIENTU,2021,7,Albergo,3 Stelle,5,725,282
AGLIENTU,2021,7,Alloggi privati,NULL,86,479,202
AGLIENTU,2021,7,Campeggio,4 Stelle,2,3898,1072
AGLIENTU,2021,7,Case e appartamenti per vacanze,II Categoria,2,72,33
AGLIENTU,2021,8,Agriturismo,NULL,10,118,44
AGLIENTU,2021,8,Albergo,2 Stelle,1,12,7
AGLIENTU,2021,8,Albergo,3 Stelle,5,725,282
AGLIENTU,2021,8,Alloggi privati,NULL,86,479,202
AGLIENTU,2021,8,Campeggio,4 Stelle,2,3898,1072
AGLIENTU,2021,8,Case e appartamenti per vacanze,II Categoria,2,72,33
AGLIENTU,2021,8,Case per ferie,III Categoria,1,10,5
AGLIENTU,2021,9,Agriturismo,NULL,10,118,44
AGLIENTU,2021,9,Albergo,2 Stelle,1,12,7
AGLIENTU,2021,9,Albergo,3 Stelle,5,725,282
AGLIENTU,2021,9,Alloggi privati,NULL,86,479,202
AGLIENTU,2021,9,Campeggio,4 Stelle,2,3898,1072
AGLIENTU,2021,9,Case e appartamenti per vacanze,II Categoria,2,72,33
AGLIENTU,2021,9,Case per ferie,III Categoria,1,10,5
AGLIENTU,2021,10,Agriturismo,NULL,6,84,30
AGLIENTU,2021,10,Alloggi privati,NULL,54,292,129
AGLIENTU,2021,10,Campeggio,4 Stelle,2,3898,1072
AGLIENTU,2021,10,Case e appartamenti per vacanze,II Categoria,1,23,0
AGLIENTU,2021,10,Case per ferie,III Categoria,1,10,5
AGLIENTU,2021,11,Agriturismo,NULL,1,4,4
AGLIENTU,2021,11,Alloggi privati,NULL,3,10,4
AGLIENTU,2021,11,Case per ferie,III Categoria,1,10,5
AGLIENTU,2021,12,Agriturismo,NULL,1,4,4
AGLIENTU,2021,12,Alloggi privati,NULL,1,2,1
AGLIENTU,2021,12,Case per ferie,III Categoria,1,10,5
ALÀ DEI SARDI,2021,1,Alloggi privati,NULL,1,4,2
ALÀ DEI SARDI,2021,2,Alloggi privati,NULL,1,4,2
ALÀ DEI SARDI,2021,3,Alloggi privati,NULL,1,4,2
ALÀ DEI SARDI,2021,4,Alloggi privati,NULL,1,4,2
ALÀ DEI SARDI,2021,5,Alloggi privati,NULL,1,4,2
ALÀ DEI SARDI,2021,6,Alloggi privati,NULL,2,8,3
ALÀ DEI SARDI,2021,7,Alloggi privati,NULL,2,8,3
ALÀ DEI SARDI,2021,8,Alloggi privati,NULL,2,8,3
ALÀ DEI SARDI,2021,9,Alloggi privati,NULL,2,8,3
ALÀ DEI SARDI,2021,10,Alloggi privati,NULL,1,4,2
ALÀ DEI SARDI,2021,10,Bed and breakfast,2 Stelle,1,2,2
ALÀ DEI SARDI,2021,11,Alloggi privati,NULL,1,4,2
ALÀ DEI SARDI,2021,11,Bed and breakfast,2 Stelle,1,2,2
ALÀ DEI SARDI,2021,12,Alloggi privati,NULL,1,4,2
ALÀ DEI SARDI,2021,12,Bed and breakfast,2 Stelle,1,2,2
ALES,2021,1,Affittacamere,II Categoria,2,14,7
ALES,2021,2,Affittacamere,II Categoria,2,14,7
ALES,2021,3,Affittacamere,II Categoria,2,14,7
ALES,2021,4,Affittacamere,II Categoria,2,14,7
ALES,2021,4,Case e appartamenti per vacanze,II Categoria,1,9,3
ALES,2021,5,Affittacamere,II Categoria,2,14,7
ALES,2021,5,Case e appartamenti per vacanze,II Categoria,1,9,3
ALES,2021,6,Affittacamere,II Categoria,2,14,7
ALES,2021,6,Bed and breakfast,1 Stella,1,6,3
ALES,2021,6,Case e appartamenti per vacanze,II Categoria,1,9,3
ALES,2021,7,Affittacamere,II Categoria,2,14,7
ALES,2021,7,Bed and breakfast,1 Stella,1,6,3
ALES,2021,7,Case e appartamenti per vacanze,II Categoria,1,9,3
ALES,2021,8,Affittacamere,II Categoria,2,14,7
ALES,2021,8,Bed and breakfast,1 Stella,1,6,3
ALES,2021,8,Case e appartamenti per vacanze,II Categoria,1,9,3
ALES,2021,9,Affittacamere,II Categoria,2,14,7
ALES,2021,9,Case e appartamenti per vacanze,II Categoria,1,9,3
ALES,2021,10,Affittacamere,II Categoria,2,14,7
ALES,2021,10,Bed and breakfast,1 Stella,1,6,3
ALES,2021,10,Case e appartamenti per vacanze,II Categoria,1,9,3
ALES,2021,11,Affittacamere,II Categoria,2,14,7
ALES,2021,11,Bed and breakfast,1 Stella,1,6,3
ALES,2021,11,Case e appartamenti per vacanze,II Categoria,1,9,3
ALES,2021,12,Affittacamere,II Categoria,2,14,7
ALES,2021,12,Bed and breakfast,1 Stella,2,8,5
ALES,2021,12,Case e appartamenti per vacanze,II Categoria,1,9,3
ALGHERO,2021,1,Affittacamere,NULL,22,155,75
ALGHERO,2021,1,Affittacamere,I Categoria,6,37,24
ALGHERO,2021,1,Affittacamere,II Categoria,39,270,138
ALGHERO,2021,1,Affittacamere,III Categoria,4,28,15
ALGHERO,2021,1,Agriturismo,NULL,15,151,78
ALGHERO,2021,1,Albergo,3 Stelle,2,153,78
ALGHERO,2021,1,Albergo,4 Stelle,1,281,128
ALGHERO,2021,1,Albergo,5 Stelle,1,48,24
ALGHERO,2021,1,Albergo residenziale,4 Stelle,1,42,25
ALGHERO,2021,1,Alloggi privati,NULL,238,1103,493
ALGHERO,2021,1,Bed and breakfast,NULL,44,190,98
ALGHERO,2021,1,Bed and breakfast,1 Stella,21,92,39
ALGHERO,2021,1,Bed and breakfast,2 Stelle,25,106,53
ALGHERO,2021,1,Bed and breakfast,3 Stelle,13,60,26
ALGHERO,2021,1,Case e appartamenti per vacanze,NULL,4,73,36
ALGHERO,2021,1,Case e appartamenti per vacanze,I Categoria,1,8,4
ALGHERO,2021,1,Case e appartamenti per vacanze,II Categoria,18,335,148
ALGHERO,2021,1,Case e appartamenti per vacanze,III Categoria,3,41,18
ALGHERO,2021,1,Case per ferie,III Categoria,1,43,31
ALGHERO,2021,1,Ostelli per la gioventù,III Categoria,1,20,8
ALGHERO,2021,1,Turismo Rurale,1 Stella,1,7,7
ALGHERO,2021,1,Turismo Rurale,3 Stelle,2,99,46
ALGHERO,2021,2,Affittacamere,NULL,24,170,83
ALGHERO,2021,2,Affittacamere,I Categoria,6,37,24
ALGHERO,2021,2,Affittacamere,II Categoria,42,298,146
ALGHERO,2021,2,Affittacamere,III Categoria,5,33,18
ALGHERO,2021,2,Agriturismo,NULL,16,156,82
ALGHERO,2021,2,Albergo,3 Stelle,2,153,78
ALGHERO,2021,2,Albergo,4 Stelle,1,281,128
ALGHERO,2021,2,Albergo,5 Stelle,1,48,24
ALGHERO,2021,2,Alloggi privati,NULL,244,1135,508
ALGHERO,2021,2,Bed and breakfast,NULL,40,173,87
ALGHERO,2021,2,Bed and breakfast,1 Stella,24,104,45
ALGHERO,2021,2,Bed and breakfast,2 Stelle,19,80,40
ALGHERO,2021,2,Bed and breakfast,3 Stelle,10,43,19
ALGHERO,2021,2,Case e appartamenti per vacanze,NULL,5,87,43
ALGHERO,2021,2,Case e appartamenti per vacanze,I Categoria,1,8,4
ALGHERO,2021,2,Case e appartamenti per vacanze,II Categoria,15,296,130
ALGHERO,2021,2,Case e appartamenti per vacanze,III Categoria,3,41,18
ALGHERO,2021,2,Case per ferie,III Categoria,1,43,31
