"anno","provincia","comune","mese","macro_tipologia","provenienza","arrivi","presenze"
"2020","Città metropolitana Cagliari","ASSEMINI","1","Non disponibile","Francia","2","3"
"2020","Città metropolitana Cagliari","ASSEMINI","1","Non disponibile","Paesi Bassi","1","1"
"2020","Città metropolitana Cagliari","ASSEMINI","1","Non disponibile","Germania","4","56"
"2020","Città metropolitana Cagliari","ASSEMINI","1","Non disponibile","Regno Unito","1","2"
"2020","Città metropolitana Cagliari","ASSEMINI","1","Non disponibile","Spagna","7","12"
"2020","Città metropolitana Cagliari","ASSEMINI","1","Non disponibile","Belgio","1","1"
"2020","Città metropolitana Cagliari","ASSEMINI","1","Non disponibile","Lussemburgo","2","4"
"2020","Città metropolitana Cagliari","ASSEMINI","1","Non disponibile","Islanda","2","16"
"2020","Città metropolitana Cagliari","ASSEMINI","1","Non disponibile","Svizzera (incluso Liechtenstein)","2","4"
"2020","Città metropolitana Cagliari","ASSEMINI","1","Non disponibile","Turchia","4","15"
"2020","Città metropolitana Cagliari","ASSEMINI","1","Non disponibile","Polonia","2","2"
"2020","Città metropolitana Cagliari","ASSEMINI","1","Non disponibile","Ucraina","1","2"
"2020","Città metropolitana Cagliari","ASSEMINI","1","Non disponibile","Altri Paesi Europei","1","1"
"2020","Città metropolitana Cagliari","ASSEMINI","1","Non disponibile","Cina","2","2"
"2020","Città metropolitana Cagliari","ASSEMINI","1","Non disponibile","Altri Paesi dell'Asia","1","2"
"2020","Città metropolitana Cagliari","ASSEMINI","1","Non disponibile","Piemonte","63","223"
"2020","Città metropolitana Cagliari","ASSEMINI","1","Non disponibile","Lombardia","90","246"
"2020","Città metropolitana Cagliari","ASSEMINI","1","Non disponibile","Veneto","17","46"
"2020","Città metropolitana Cagliari","ASSEMINI","1","Non disponibile","Friuli-Venezia Giulia","28","29"
"2020","Città metropolitana Cagliari","ASSEMINI","1","Non disponibile","Liguria","9","22"
"2020","Città metropolitana Cagliari","ASSEMINI","1","Non disponibile","Emilia Romagna","22","63"
"2020","Città metropolitana Cagliari","ASSEMINI","1","Non disponibile","Toscana","24","65"
"2020","Città metropolitana Cagliari","ASSEMINI","1","Non disponibile","Umbria","8","27"
"2020","Città metropolitana Cagliari","ASSEMINI","1","Non disponibile","Marche","6","7"
"2020","Città metropolitana Cagliari","ASSEMINI","1","Non disponibile","Lazio","45","259"
"2020","Città metropolitana Cagliari","ASSEMINI","1","Non disponibile","Abruzzo","7","17"
"2020","Città metropolitana Cagliari","ASSEMINI","1","Non disponibile","Campania","19","88"
"2020","Città metropolitana Cagliari","ASSEMINI","1","Non disponibile","Puglia","25","56"
"2020","Città metropolitana Cagliari","ASSEMINI","1","Non disponibile","Basilicata","3","3"
"2020","Città metropolitana Cagliari","ASSEMINI","1","Non disponibile","Calabria","3","3"
"2020","Città metropolitana Cagliari","ASSEMINI","1","Non disponibile","Sicilia","18","51"
"2020","Città metropolitana Cagliari","ASSEMINI","1","Non disponibile","Sardegna","396","719"
"2020","Città metropolitana Cagliari","ASSEMINI","1","Non disponibile","Bolzano","1","1"
