"anno","provincia","mese","macro_tipologia","macro_provenienza","provenienza","arrivi","presenze"
"2018","Città metropolitana Cagliari","1","Extra-Alberghiero - Alloggi privati in affitto","Stranieri","Francia","12","32"
"2018","Città metropolitana Cagliari","1","Alberghiero","Stranieri","Francia","126","330"
"2018","Città metropolitana Cagliari","1","Extra-Alberghiero - Complementari","Stranieri","Francia","42","84"
"2018","Città metropolitana Cagliari","1","Alberghiero","Stranieri","Paesi Bassi","29","55"
"2018","Città metropolitana Cagliari","1","Extra-Alberghiero - Complementari","Stranieri","Paesi Bassi","10","13"
"2018","Città metropolitana Cagliari","1","Extra-Alberghiero - Alloggi privati in affitto","Stranieri","Paesi Bassi","3","5"
"2018","Città metropolitana Cagliari","1","Extra-Alberghiero - Alloggi privati in affitto","Stranieri","Germania","17","36"
"2018","Città metropolitana Cagliari","1","Extra-Alberghiero - Complementari","Stranieri","Germania","33","89"
"2018","Città metropolitana Cagliari","1","Alberghiero","Stranieri","Germania","122","310"
"2018","Città metropolitana Cagliari","1","Extra-Alberghiero - Complementari","Stranieri","Regno Unito","24","73"
"2018","Città metropolitana Cagliari","1","Extra-Alberghiero - Alloggi privati in affitto","Stranieri","Regno Unito","7","25"
"2018","Città metropolitana Cagliari","1","Alberghiero","Stranieri","Regno Unito","77","188"
"2018","Città metropolitana Cagliari","1","Alberghiero","Stranieri","Irlanda","4","19"
"2018","Città metropolitana Cagliari","1","Extra-Alberghiero - Complementari","Stranieri","Irlanda","5","13"
"2018","Città metropolitana Cagliari","1","Alberghiero","Stranieri","Danimarca","15","49"
"2018","Città metropolitana Cagliari","1","Extra-Alberghiero - Complementari","Stranieri","Grecia","5","11"
"2018","Città metropolitana Cagliari","1","Extra-Alberghiero - Alloggi privati in affitto","Stranieri","Grecia","2","10"
"2018","Città metropolitana Cagliari","1","Alberghiero","Stranieri","Grecia","33","42"
"2018","Città metropolitana Cagliari","1","Alberghiero","Stranieri","Portogallo","8","13"
"2018","Città metropolitana Cagliari","1","Extra-Alberghiero - Complementari","Stranieri","Portogallo","2","6"
"2018","Città metropolitana Cagliari","1","Extra-Alberghiero - Alloggi privati in affitto","Stranieri","Spagna","12","33"
"2018","Città metropolitana Cagliari","1","Alberghiero","Stranieri","Spagna","102","292"
"2018","Città metropolitana Cagliari","1","Extra-Alberghiero - Complementari","Stranieri","Spagna","49","88"
"2018","Città metropolitana Cagliari","1","Extra-Alberghiero - Complementari","Stranieri","Belgio","30","62"
"2018","Città metropolitana Cagliari","1","Extra-Alberghiero - Alloggi privati in affitto","Stranieri","Belgio","4","4"
"2018","Città metropolitana Cagliari","1","Alberghiero","Stranieri","Belgio","81","187"
"2018","Città metropolitana Cagliari","1","Extra-Alberghiero - Complementari","Stranieri","Lussemburgo","2","2"
"2018","Città metropolitana Cagliari","1","Alberghiero","Stranieri","Lussemburgo","2","17"
"2018","Città metropolitana Cagliari","1","Alberghiero","Stranieri","Islanda","1","2"
"2018","Città metropolitana Cagliari","1","Alberghiero","Stranieri","Norvegia","15","67"
"2018","Città metropolitana Cagliari","1","Extra-Alberghiero - Complementari","Stranieri","Norvegia","8","14"
"2018","Città metropolitana Cagliari","1","Extra-Alberghiero - Complementari","Stranieri","Svezia","6","41"
"2018","Città metropolitana Cagliari","1","Alberghiero","Stranieri","Svezia","17","62"
"2018","Città metropolitana Cagliari","1","Alberghiero","Stranieri","Finlandia","9","23"
"2018","Città metropolitana Cagliari","1","Extra-Alberghiero - Alloggi privati in affitto","Stranieri","Svizzera (incluso Liechtenstein)","3","23"
"2018","Città metropolitana Cagliari","1","Extra-Alberghiero - Complementari","Stranieri","Svizzera (incluso Liechtenstein)","13","36"
"2018","Città metropolitana Cagliari","1","Alberghiero","Stranieri","Svizzera (incluso Liechtenstein)","45","92"
"2018","Città metropolitana Cagliari","1","Extra-Alberghiero - Complementari","Stranieri","Austria","3","4"
"2018","Città metropolitana Cagliari","1","Extra-Alberghiero - Alloggi privati in affitto","Stranieri","Austria","2","5"
"2018","Città metropolitana Cagliari","1","Alberghiero","Stranieri","Austria","10","32"
"2018","Città metropolitana Cagliari","1","Alberghiero","Stranieri","Malta","2","4"
"2018","Città metropolitana Cagliari","1","Alberghiero","Stranieri","Turchia","17","42"
"2018","Città metropolitana Cagliari","1","Alberghiero","Stranieri","Estonia","1","1"
"2018","Città metropolitana Cagliari","1","Alberghiero","Stranieri","Lettonia","3","9"
"2018","Città metropolitana Cagliari","1","Extra-Alberghiero - Complementari","Stranieri","Lituania","5","7"
"2018","Città metropolitana Cagliari","1","Alberghiero","Stranieri","Lituania","1","5"
"2018","Città metropolitana Cagliari","1","Extra-Alberghiero - Alloggi privati in affitto","Stranieri","Lituania","2","2"
"2018","Città metropolitana Cagliari","1","Extra-Alberghiero - Alloggi privati in affitto","Stranieri","Polonia","9","28"
"2018","Città metropolitana Cagliari","1","Extra-Alberghiero - Complementari","Stranieri","Polonia","30","70"
"2018","Città metropolitana Cagliari","1","Alberghiero","Stranieri","Polonia","49","133"
"2018","Città metropolitana Cagliari","1","Alberghiero","Stranieri","Repubblica Ceca","7","104"
"2018","Città metropolitana Cagliari","1","Extra-Alberghiero - Alloggi privati in affitto","Stranieri","Repubblica Ceca","2","2"
"2018","Città metropolitana Cagliari","1","Extra-Alberghiero - Complementari","Stranieri","Repubblica Ceca","4","8"
"2018","Città metropolitana Cagliari","1","Alberghiero","Stranieri","Slovacchia","2","8"
"2018","Città metropolitana Cagliari","1","Extra-Alberghiero - Complementari","Stranieri","Slovacchia","1","1"
