"anno","provincia","mese","macro_tipologia","macro_provenienza","provenienza","arrivi","presenze"
"2021","Città metropolitana Cagliari","1","Alberghiero","Stranieri","Francia","36","77"
"2021","Città metropolitana Cagliari","1","Extra-Alberghiero - Alloggi privati in affitto","Stranieri","Francia","1","7"
"2021","Città metropolitana Cagliari","1","Extra-Alberghiero - Complementari","Stranieri","Francia","3","4"
"2021","Città metropolitana Cagliari","1","Alberghiero","Stranieri","Paesi Bassi","2","2"
"2021","Città metropolitana Cagliari","1","Alberghiero","Stranieri","Germania","23","87"
"2021","Città metropolitana Cagliari","1","Extra-Alberghiero - Complementari","Stranieri","Germania","3","4"
"2021","Città metropolitana Cagliari","1","Extra-Alberghiero - Alloggi privati in affitto","Stranieri","Germania","3","23"
"2021","Città metropolitana Cagliari","1","Alberghiero","Stranieri","Regno Unito","10","12"
"2021","Città metropolitana Cagliari","1","Extra-Alberghiero - Complementari","Stranieri","Regno Unito","3","5"
"2021","Città metropolitana Cagliari","1","Extra-Alberghiero - Alloggi privati in affitto","Stranieri","Irlanda","1","1"
"2021","Città metropolitana Cagliari","1","Alberghiero","Stranieri","Irlanda","2","8"
"2021","Città metropolitana Cagliari","1","Alberghiero","Stranieri","Danimarca","1","1"
"2021","Città metropolitana Cagliari","1","Alberghiero","Stranieri","Grecia","12","18"
"2021","Città metropolitana Cagliari","1","Alberghiero","Stranieri","Portogallo","7","19"
"2021","Città metropolitana Cagliari","1","Extra-Alberghiero - Alloggi privati in affitto","Stranieri","Spagna","1","1"
"2021","Città metropolitana Cagliari","1","Alberghiero","Stranieri","Spagna","27","45"
"2021","Città metropolitana Cagliari","1","Alberghiero","Stranieri","Belgio","6","10"
"2021","Città metropolitana Cagliari","1","Alberghiero","Stranieri","Norvegia","1","31"
"2021","Città metropolitana Cagliari","1","Alberghiero","Stranieri","Svezia","2","2"
"2021","Città metropolitana Cagliari","1","Alberghiero","Stranieri","Svizzera (incluso Liechtenstein)","8","14"
"2021","Città metropolitana Cagliari","1","Alberghiero","Stranieri","Austria","15","57"
"2021","Città metropolitana Cagliari","1","Extra-Alberghiero - Alloggi privati in affitto","Stranieri","Austria",,"3"
"2021","Città metropolitana Cagliari","1","Alberghiero","Stranieri","Turchia","2","5"
"2021","Città metropolitana Cagliari","1","Extra-Alberghiero - Alloggi privati in affitto","Stranieri","Turchia","1","8"
"2021","Città metropolitana Cagliari","1","Alberghiero","Stranieri","Lettonia","2","2"
"2021","Città metropolitana Cagliari","1","Alberghiero","Stranieri","Lituania","10","18"
"2021","Città metropolitana Cagliari","1","Extra-Alberghiero - Alloggi privati in affitto","Stranieri","Lituania","1","7"
"2021","Città metropolitana Cagliari","1","Extra-Alberghiero - Complementari","Stranieri","Polonia","2","33"
"2021","Città metropolitana Cagliari","1","Alberghiero","Stranieri","Polonia","12","61"
"2021","Città metropolitana Cagliari","1","Alberghiero","Stranieri","Repubblica Ceca","2","51"
"2021","Città metropolitana Cagliari","1","Alberghiero","Stranieri","Slovacchia","1","1"
"2021","Città metropolitana Cagliari","1","Extra-Alberghiero - Alloggi privati in affitto","Stranieri","Slovacchia",,"3"
"2021","Città metropolitana Cagliari","1","Alberghiero","Stranieri","Romania","25","49"
"2021","Città metropolitana Cagliari","1","Extra-Alberghiero - Alloggi privati in affitto","Stranieri","Romania","12","66"
"2021","Città metropolitana Cagliari","1","Extra-Alberghiero - Complementari","Stranieri","Romania","4","41"
"2021","Città metropolitana Cagliari","1","Alberghiero","Stranieri","Bulgaria","13","19"
"2021","Città metropolitana Cagliari","1","Extra-Alberghiero - Complementari","Stranieri","Bulgaria","1","2"
"2021","Città metropolitana Cagliari","1","Alberghiero","Stranieri","Ucraina","7","7"
"2021","Città metropolitana Cagliari","1","Extra-Alberghiero - Alloggi privati in affitto","Stranieri","Ucraina","1","18"
"2021","Città metropolitana Cagliari","1","Alberghiero","Stranieri","Russia","8","18"
"2021","Città metropolitana Cagliari","1","Extra-Alberghiero - Alloggi privati in affitto","Stranieri","Russia","2","3"
"2021","Città metropolitana Cagliari","1","Alberghiero","Stranieri","Slovenia","1","14"
"2021","Città metropolitana Cagliari","1","Alberghiero","Stranieri","Croazia","14","28"
"2021","Città metropolitana Cagliari","1","Extra-Alberghiero - Complementari","Stranieri","Croazia","3","29"
"2021","Città metropolitana Cagliari","1","Extra-Alberghiero - Complementari","Stranieri","Altri Paesi Europei","1","4"
"2021","Città metropolitana Cagliari","1","Alberghiero","Stranieri","Altri Paesi Europei","4","4"
"2021","Città metropolitana Cagliari","1","Alberghiero","Stranieri","Egitto","1","1"
"2021","Città metropolitana Cagliari","1","Extra-Alberghiero - Complementari","Stranieri","Altri Paesi Africa Mediterranea","1","1"
"2021","Città metropolitana Cagliari","1","Alberghiero","Stranieri","Altri Paesi Africa Mediterranea","6","34"
"2021","Città metropolitana Cagliari","1","Extra-Alberghiero - Complementari","Stranieri","Altri Paesi dell'Africa","3","19"
"2021","Città metropolitana Cagliari","1","Alberghiero","Stranieri","Altri Paesi dell'Africa","11","24"
